size,mflop
31,3630.3
32,4815.29
96,5646.01
97,4603.44
127,4516.68
128,5831.4
129,4703.8
191,4449.16
192,5627.04
229,4457.94
255,4557.17
256,5612.63
257,4683.21
319,4550.86
320,5424.28
321,4523.48
417,4579.17
479,4563.14
480,5507.04
511,4576.19
512,5470.85
639,4615.86
640,5542.64
767,4631.25
768,5586.52
769,4460.94
1023,4396.15
1024,3920.93
1025,2836.85
1525,2777.92
1526,3042.64
1527,2819.66
