size,mflop
31,7268.82
32,8190.13
96,13298.5
97,13894.4
127,15979.6
128,14936.6
129,16405.1
191,17408.3
192,17731.3
229,17886
255,17928.3
256,17990.6
257,17501.2
319,18054.7
320,18228.5
321,18148.9
417,19070.2
479,19156.1
480,19306.5
511,19308.8
512,19353.8
639,19283.2
640,19354.7
767,19391.7
768,19454.1
769,19363.7
1023,19405.6
1024,19509.2
1025,18694.8
1525,19005.9
1526,19417.2
1527,19729.8
