size,mflop
31,15456.2
32,19475.3
96,27865.4
97,28193.3
127,26165
128,27939.5
129,27995.9
191,29350.7
192,31399.1
229,31798.2
255,31368.1
256,31932.7
257,30029.3
319,31521.6
320,33311.9
321,32526.5
417,34510
479,34405
480,35460.4
511,33145
512,33165
639,34495.7
640,34831.6
767,33772.6
768,34570.7
769,34253.4
1023,33926.4
1024,33666.4
1025,33744.2
1525,34493.7
1526,34971.4
1527,33508
