size,mflop
31,1912.77
32,2417.61
96,2405.17
97,1995.54
127,2032.17
128,2228.67
129,2010.58
191,2044.7
192,2343.25
229,2029.68
255,2046.73
256,1780.11
257,2035.93
319,2051.59
320,2321.42
321,2045.4
417,2050.2
479,2037.83
480,2360.69
511,1968.14
512,1285.27
639,2031.91
640,2183.05
767,2003.2
768,1778.41
769,2019.64
